12	0	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__0_h.wav
12	0	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__0_l.wav
12	100	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__100_h.wav
12	100	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__100_l.wav
12	101	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__101_h.wav
12	101	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__101_l.wav
12	102	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__102_h.wav
12	102	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__102_l.wav
12	103	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__103_h.wav
12	103	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__103_l.wav
12	104	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__104_h.wav
12	104	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__104_l.wav
12	105	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__105_h.wav
12	105	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__105_l.wav
12	106	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__106_h.wav
12	106	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__106_l.wav
12	107	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__107_h.wav
12	107	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__107_l.wav
12	108	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__108_h.wav
12	108	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__108_l.wav
12	109	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__109_h.wav
12	109	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__109_l.wav
12	10	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__10_h.wav
12	10	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__10_l.wav
12	110	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__110_h.wav
12	110	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__110_l.wav
12	111	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__111_h.wav
12	111	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__111_l.wav
12	112	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__112_h.wav
12	112	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__112_l.wav
12	113	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__113_h.wav
12	113	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__113_l.wav
12	114	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__114_h.wav
12	114	h	chunk_(hw:CARD=Microphone_1,DEV=0)__12cm__114_l.wav
